id_trial,idphrase
NCT00458887,"A Group-Wide, Prospective Study of Ototoxicity Assessment in Children Receiving Cisplatin Chemotherapy"
NCT02117713,"A Multicenter Extension Study to Evaluate the Long-Term Safety and Durability of the Therapeutic Effect of LUM001, an Apical Sodium-Dependent Bile Acid Transporter Inhibitor (ASBTi), in the Treatment of Cholestatic Liver Disease in Pediatric Subjects With Alagille Syndrome"
NCT06106945,"A Modular Phase I/II, Open-label, Multicenter Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Lmmunogenicity, Pharmacodynamics, and Preliminary Efficacy of AZD0305 as Monotherapy or in Combination With Anticancer Agent(s) in Participants With Relapsed or Refractory Multiple Myeloma"
NCT05413915,"A Phase 3, Multicenter, Randomized, Open-Label, Trial Evaluating the Efficacy and Safety of Asciminib Used in Consolidation With Imatinib v. Imatinib to Achieve Treatment-free Remission in Chronic Phase-Chronic Myelogenous Leukemia Patients"
NCT03753945,Spine MRI in Patients With Deep Brain Stimulation (DBS)
NCT03716076,The Effect of Carbetocin Dose on Dispersion of Myocardial Repolarization in Healthy Parturients Scheduled for Elective Cesarean Delivery Under Spinal Anesthesia
NCT02865408,Enhancing the Anabolic Effect of Nutrition in Critically Ill Patients by Administering Exogenous Amino Acids
NCT01728831,Observational Study of Cerebral Tissue Oxygen Saturation During Blood Transfusion in Severe Traumatic Brain Injured Patients
NCT00369317,The Treatment of Down Syndrome Children With Acute Myeloid Leukemia (AML) and Myelodysplastic Syndromes (MDS) Under the Age of 4 Years
NCT05699928,Accuracy of Community General Pediatrician Diagnosis of Autism Compared to a Multidisciplinary Team Assessment
NCT05662319,"A Phase 3, Single-arm, Multicenter, Multinational, Open-label, One-way Crossover Study to Investigate the Efficacy and Safety of Fitusiran Prophylaxis in Male Participants Aged ≥ 12 Years With Severe Hemophilia A or B With or Without Inhibitory Antibodies to Factor VIII or IX"
NCT04774380,"A Phase IIIb, Single-arm, Multi-center, International Study of Durvalumab in Combination With Platinum and Etoposide for the First Line Treatment of Patients With Extensive-stage Small Cell Lung Cancer (LUMINANCE)"
NCT05667493,An Open-Label Extension Study to Assess the Long-Term Safety of Eplontersen (ION-682884) in Patients With Transthyretin-Mediated Amyloid Cardiomyopathy (ATTR-CM)
NCT04816916,"A Phase 2, Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Efficacy and Safety of AXA1665 in Subjects With Liver Cirrhosis and Prior Overt Hepatic Encephalopathy (EMMPOWER)"
NCT03799029,"A Multi-centred Study: Neuchatel, Fribourg and Lausanne"
NCT05142774,"An Open-Label, Long-Term Extension Study to Evaluate the Safety and Efficacy of Tapinarof Cream, 1% in Subjects With Atopic Dermatitis"
NCT02477618,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of SAGE-547 Injection in the Treatment of Subjects With Super-Refractory Status Epilepticus"
NCT00216892,Different Treatment Regimens of Calcipotriol Cream and Combination (Calcipotriol/Betamethasone Dipropionate) Ointment in Psoriasis Vulgaris
NCT04401618,Retrospective Clinical Evaluation of RMGI/GI Class V Restorations Placed by Dental Students
NCT03799003,"A Phase 1b Study of ASP1951, a GITR Agonistic Antibody, as a Single Agent and in Combination With Pembrolizumab in Subjects With Advanced Solid Tumors"
NCT02473289,"A Double-Blind, Placebo-Controlled, Multicenter Study of Sirukumab as Adjunctive Treatment to a Monoaminergic Antidepressant in Adults With Major Depressive Disorder"
NCT00005047,"MVAC (Methotrexate, Vinblastine, Adriamycin, and Cisplatin) in Organ-Confined Bladder Cancer Based on p53 Status"
NCT01307306,Glucose Control in Severely Burned Patients: Mechanisms and Therapeutic Potential
NCT01491529,"13-week, Double-blind, Placebo-controlled, Fixed-dose, Multicenter Study to Evaluate the Efficacy and Safety of Modified Release AFQ056 in Reducing Moderate to Severe L-dopa Induced Dyskinesias in Patients With Parkinson's Disease"
NCT04261218,"A Trial to Assess the Safety, Pharmacodynamic Effects, Pharmacokinetics and Efficacy of the MNK Inhibitor Tomivosertib (eFT508) in Combination With Paclitaxel, Following a Run-in Period of Tomivosertib Monotherapy, in Patients With Advanced Breast Cancer"
NCT04596553,The Effects of Essential and Non-Essential Amino Acids on Post-Exercise Muscle Collagen Synthesis in Young Men: a Randomized Controlled Trial
NCT02760212,Physical Approaches to the Management of Fibromyalgia - A Multidisciplinary Approach
NCT01297270,"A Phase III, Randomized, Double Blind and Placebo Controlled Study of Once Daily BI 201335 120 mg for 24 Weeks and BI 201335 240 mg for 12 Weeks in Combination With Pegylated Interferon Alpha and Ribavirin in Treatment Naive Patients With Genotype 1 Chronic Hepatitis C Infection."
NCT03180268,Phase III Trial of Observation Versus Irradiation for a Gross Totally Resected Grade II Meningioma
NCT05264454,Effect of High-Flow Nasal Cannula on IVC Measurements Using Point of Care Ultrasound
NCT04385940,Improving Vitamin D Status in the Management of COVID-19
NCT00003890,A Phase I Study of MG98 Given as a 2 Hour Twice Weekly IV Infusion in Patients With Advanced Cancer
NCT01689246,"Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, 15-Month Trial of TRx0237 in Subjects With Mild to Moderate Alzheimer's Disease"
NCT04370717,Chronic Pain Management During a Pandemic: Will Telemedicine Replace In-person Consultation
NCT00668031,"A Multi-Center, Randomized, Double-Blind, Placebo-Controlled, Parallel Design, 2-Arm Study to Investigate the Effect of Aprotinin on Transfusion Requirements and Blood Loss in Patients Undergoing Elective Primary Total Hip Replacement Surgery"
