index,token,order,concept_token,token_classifier,idphrase,concept,id_trial,cuid,umlstokens,concept_phrase_type,lang_token,weightuser
,Bruton Tyrosine Kinase,0,GGP,craft,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0218158,Agammaglobulinaemia tyrosine kinase,FDA,en,0
,Protein Degrader,0,CHEBI,craft,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0597297,"Protein Degradation, Metabolic",FDA,en,0
,Bruton Tyrosine Kinase Targeted Protein,0,PROTEIN,jnlpba,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0218158,Agammaglobulinaemia tyrosine kinase,FDA,en,0
,Tyrosine,0,CHEMICAL,jnlpba,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0041485,tyrosine,FDA,en,0
,B-Cell Malignancies,0,DISEASE,jnlpba,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0023434,Chronic Lymphocytic Leukemia,FDA,en,0
,Bruton Tyrosine Kinase,0,GENE_OR_GENE_PRODUCT,bionlp,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0218158,Agammaglobulinaemia tyrosine kinase,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0030705,Patients,FDA,en,0
,B-Cell Malignancies,0,CANCER,bionlp,"A Phase 1/2, Open-Label, Dose-Escalation and -Expansion Study of the Bruton Tyrosine Kinase Targeted Protein Degrader BGB-16673 in Patients With B-Cell Malignancies",warnings,NCT05006716,C0023434,Chronic Lymphocytic Leukemia,FDA,en,0
,TIME,0,GENE_OR_GENE_PRODUCT,bionlp,Take TIME for Your Child's Health: A Health Promotion Campaign Targeting Caregivers of Young Children,pediatric_use,NCT01290848,C0040223,Time,FDA,en,0
,Children,0,ORGANISM,bionlp,Take TIME for Your Child's Health: A Health Promotion Campaign Targeting Caregivers of Young Children,pediatric_use,NCT01290848,C0008059,Child,FDA,en,0
,Clemizole Hydrochloride,0,GGP,craft,"A 20-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of EPX-100 (Clemizole Hydrochloride) as Adjunctive Therapy in Children and Adult Participants With Dravet Syndrome (ARGUS Trial)",adverse_reactions,NCT04462770,C0772142,Clemizole Hydrochloride,FDA,en,0
,EPX-100,0,PROTEIN,jnlpba,"A 20-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of EPX-100 (Clemizole Hydrochloride) as Adjunctive Therapy in Children and Adult Participants With Dravet Syndrome (ARGUS Trial)",adverse_reactions,NCT04462770,,,FDA,en,0
,Clemizole Hydrochloride,0,CHEMICAL,jnlpba,"A 20-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of EPX-100 (Clemizole Hydrochloride) as Adjunctive Therapy in Children and Adult Participants With Dravet Syndrome (ARGUS Trial)",adverse_reactions,NCT04462770,C0772142,Clemizole Hydrochloride,FDA,en,0
,Dravet Syndrome,0,DISEASE,jnlpba,"A 20-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of EPX-100 (Clemizole Hydrochloride) as Adjunctive Therapy in Children and Adult Participants With Dravet Syndrome (ARGUS Trial)",adverse_reactions,NCT04462770,C0751122,Infantile Severe Myoclonic Epilepsy,FDA,en,0
,Hydrochloride,0,SIMPLE_CHEMICAL,bionlp,"A 20-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of EPX-100 (Clemizole Hydrochloride) as Adjunctive Therapy in Children and Adult Participants With Dravet Syndrome (ARGUS Trial)",adverse_reactions,NCT04462770,C1512523,hydrochloride,FDA,en,0
,Children,0,ORGANISM,bionlp,"A 20-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of EPX-100 (Clemizole Hydrochloride) as Adjunctive Therapy in Children and Adult Participants With Dravet Syndrome (ARGUS Trial)",adverse_reactions,NCT04462770,C0008059,Child,FDA,en,0
,Lenvatinib,0,CHEBI,craft,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C2986924,lenvatinib,FDA,en,0
,Lenvatinib,0,CHEMICAL,jnlpba,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C2986924,lenvatinib,FDA,en,0
,MK-3475,0,CHEMICAL,jnlpba,"Phase 3, Randomized Study to Evaluate the Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) Plus Chemotherapy Compared With Standard of Care Therapy as First-line Intervention in Participants With Advanced/Metastatic Gastroesophageal Adenocarcinoma (LEAP-015)",indications,NCT04662710,C3660977,MK-3475,FDA,en,0
