index,token,order,concept_token,token_classifier,idphrase,concept,id_trial,cuid,umlstokens,concept_phrase_type,lang_token,weightuser
,HER2,0,GGP,craft,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0069515,erbB-2 Receptor,FDA,en,0
,HER2,0,PROTEIN,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0069515,erbB-2 Receptor,FDA,en,0
,Bevacizumab,0,CHEMICAL,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0796392,bevacizumab,FDA,en,0
,Docetaxel,0,CHEMICAL,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0246415,docetaxel,FDA,en,0
,Breast Cancer,0,DISEASE,jnlpba,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0006142,Malignant neoplasm of breast,FDA,en,0
,Bevacizumab,0,SIMPLE_CHEMICAL,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0796392,bevacizumab,FDA,en,0
,Docetaxel,0,SIMPLE_CHEMICAL,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0246415,docetaxel,FDA,en,0
,Line,0,CELL,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,,,FDA,en,0
,Patients,0,ORGANISM,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0030705,Patients,FDA,en,0
,HER2,0,GENE_OR_GENE_PRODUCT,bionlp,"A Randomised, Double Blind, Placebo Controlled, Multicentre Study to Evaluate the Efficacy and Safety of Bevacizumab in Combination With Docetaxel in Comparison With Docetaxel Plus Placebo, as First Line Treatment for Patients With HER2 Negative Metastatic and Locally Recurrent Breast Cancer.",indications,NCT00333775,C0069515,erbB-2 Receptor,FDA,en,0
