pm_ref,pm_rel,weight
NCT04713592,NCT00244842,6
NCT04713592,NCT03764475,6
NCT04713592,NCT05357755,6
NCT04713592,NCT03721172,6
NCT04713592,NCT01101100,6
NCT04713592,NCT01815723,6
NCT04713592,NCT01646177,6
NCT04713592,NCT00673556,6
NCT04713592,NCT01640951,6
NCT04713592,NCT01163253,6
NCT04713592,NCT03766685,6
NCT04713592,NCT05004727,6
NCT04713592,NCT02274792,6
NCT04713592,NCT02899988,6
NCT04713592,NCT00879944,6
NCT04713592,NCT00419666,6
NCT04713592,NCT00833729,6
NCT04713592,NCT04175613,6
NCT04713592,NCT05364554,6
NCT04713592,NCT01831466,6
NCT04713592,NCT02435342,6
NCT04713592,NCT04862286,6
NCT04713592,NCT06088043,6
NCT04713592,NCT02074982,6
NCT04713592,NCT03635099,6
NCT04713592,NCT04746911,6
NCT04713592,NCT05600036,6
NCT04713592,NCT01406938,6
NCT04713592,NCT05268016,6
NCT04713592,NCT04435600,6
NCT05776810,NCT04972071,6
NCT05776810,NCT05560126,6
NCT05776810,NCT00118482,6
NCT05776810,NCT02786940,6
NCT05776810,NCT05657925,6
NCT05776810,NCT01456481,6
NCT05776810,NCT05633693,6
NCT05776810,NCT01423994,6
NCT05776810,NCT05555771,6
NCT05776810,NCT05755737,6
NCT05776810,NCT02324920,6
NCT05776810,NCT03974412,6
NCT05776810,NCT04790058,6
NCT05600894,NCT02268253,8
NCT05600894,NCT03306264,6
NCT05600894,NCT02367456,6
NCT05600894,NCT03268954,6
NCT05600894,NCT01522976,6
NCT05600894,NCT02907359,6
NCT05600894,NCT00946647,6
NCT05600894,NCT00451048,6
NCT05600894,NCT04256317,6
NCT05600894,NCT02610777,6
NCT05707949,NCT02614261,6
NCT05707949,NCT06047457,6
NCT05707949,NCT02621931,6
NCT05707949,NCT04464707,6
NCT05707949,NCT05518123,6
NCT05707949,NCT04759040,6
NCT05707949,NCT06047444,6
NCT05707949,NCT02502123,6
NCT05707949,NCT04649242,6
NCT05707949,NCT03806595,6
NCT05707949,NCT04458857,6
NCT05707949,NCT05217927,6
NCT05707949,NCT03504150,6
NCT05707949,NCT05164172,6
NCT05707949,NCT05711394,6
NCT05707949,NCT05028569,6
NCT05707949,NCT03855137,6
NCT05707949,NCT03238781,6
NCT05707949,NCT02710942,6
NCT05707949,NCT03836040,6
NCT05707949,NCT02638103,6
NCT05707949,NCT02903680,6
NCT05707949,NCT00505570,6
NCT05707949,NCT05556564,6
NCT05707949,NCT02794441,6
NCT05707949,NCT02436499,6
NCT05707949,NCT02456740,6
NCT05707949,NCT03832998,6
NCT05707949,NCT06428838,6
NCT05707949,NCT04686136,6
NCT05544929,NCT04866394,6
NCT05544929,NCT01896713,6
NCT05544929,NCT01803542,6
NCT05544929,NCT00898755,6
NCT05544929,NCT03908684,6
NCT05544929,NCT01514864,6
NCT05544929,NCT05456685,6
NCT05544929,NCT02124772,6
NCT05544929,NCT04209855,6
NCT05544929,NCT00248404,6
NCT05544929,NCT03058289,6
NCT05544929,NCT04235114,6
NCT05544929,NCT05241873,6
NCT05544929,NCT04891029,6
NCT05544929,NCT05214820,6
NCT05544929,NCT03475966,6
NCT05544929,NCT04065269,6
NCT05544929,NCT05671510,6
NCT05544929,NCT03156114,6
NCT05544929,NCT04151342,6
NCT05544929,NCT01505400,6
NCT05544929,NCT05920356,6
NCT05544929,NCT02034110,6
NCT05544929,NCT04262466,6
NCT05544929,NCT02732860,6
NCT05544929,NCT01264432,6
NCT05544929,NCT05041257,6
NCT05583344,NCT05029583,8
NCT05583344,NCT03008070,6
NCT05583344,NCT05327127,6
NCT05583344,NCT02466516,6
NCT05583344,NCT04065841,6
NCT05583344,NCT03449446,6
NCT05583344,NCT03053063,6
NCT05583344,NCT03421431,6
NCT05583344,NCT03205150,6
NCT05583344,NCT02855164,6
NCT05583344,NCT04048876,6
NCT05583344,NCT04267393,6
NCT05583344,NCT04971785,6
NCT05583344,NCT02787304,6
NCT05583344,NCT01672879,6
NCT05583344,NCT03517540,6
NCT05583344,NCT04399538,6
NCT05583344,NCT03900429,6
NCT05583344,NCT04771273,6
NCT05583344,NCT01056133,6
NCT05583344,NCT03053050,6
NCT05583344,NCT04849728,6
NCT05583344,NCT01672866,6
NCT05583344,NCT03166735,6
NCT05583344,NCT02854605,6
NCT05583344,NCT04378010,6
NCT05583344,NCT02704403,6
NCT06120491,NCT05938270,8
NCT06120491,NCT00686036,6
NCT06120491,NCT01878773,6
NCT06120491,NCT01512472,6
NCT06120491,NCT00188708,6
NCT06120491,NCT03424694,6
NCT06120491,NCT01733836,6
NCT06120491,NCT05851547,6
NCT06120491,NCT00106691,6
NCT06120491,NCT06235697,6
NCT06120491,NCT02975934,6
NCT06120491,NCT01547299,6
NCT06120491,NCT03938766,6
NCT06120491,NCT03459820,6
NCT06120491,NCT04281147,6
NCT06120491,NCT02077335,6
NCT06120491,NCT02960022,6
NCT06120491,NCT03385655,6
NCT06120491,NCT00295802,6
NCT06120491,NCT02229734,6
NCT06120491,NCT00043069,6
NCT06120491,NCT01993160,6
NCT06120491,NCT00910754,6
NCT06120491,NCT00946920,6
NCT06120491,NCT02968784,6
NCT06120491,NCT02095249,6
NCT06120491,NCT00632905,6
NCT06120491,NCT03160794,6
NCT06120491,NCT02108613,6
NCT06120491,NCT02981368,6
NCT05664009,NCT00679809,6
NCT05664009,NCT04267107,6
NCT05664009,NCT03049384,6
NCT05664009,NCT01662076,6
NCT05664009,NCT03825770,6
NCT05664009,NCT00253916,6
NCT05664009,NCT01740505,6
NCT05664009,NCT01232907,6
NCT05664009,NCT05997082,6
NCT05664009,NCT03362541,6
NCT05664009,NCT03516240,6
NCT05664009,NCT01667497,6
NCT05664009,NCT04737278,6
NCT05664009,NCT05430152,6
NCT05664009,NCT05409638,6
NCT05664009,NCT01983592,6
NCT05664009,NCT03484000,6
NCT05664009,NCT01669460,6
NCT05664009,NCT02134782,6
NCT05664009,NCT00428675,6
NCT05664009,NCT00593853,6
NCT05664009,NCT01397656,6
NCT05664009,NCT02105389,6
NCT05664009,NCT02295839,6
NCT05664009,NCT01286233,6
NCT05664009,NCT00380757,6
NCT05664009,NCT01912261,6
NCT05664009,NCT01516554,6
NCT05664009,NCT00866970,6
NCT05664009,NCT00188331,6
NCT05014672,NCT04950127,6
NCT05014672,NCT03602560,6
NCT05014672,NCT04620733,6
NCT05014672,NCT03394924,6
NCT05014672,NCT03301506,6
NCT05014672,NCT05374200,6
NCT05014672,NCT02609048,6
NCT05014672,NCT02955602,6
NCT05014672,NCT05525520,6
NCT05014672,NCT04167358,6
NCT05014672,NCT03602560,6
NCT05014672,NCT02943447,6
NCT05014672,NCT03301506,6
NCT05014672,NCT04526665,6
NCT05014672,NCT04950127,6
NCT05014672,NCT02308111,6
NCT05014672,NCT02955602,6
NCT05014672,NCT03226067,6
NCT05014672,NCT05374200,6
NCT05014672,NCT02966834,6
NCT05014672,NCT03954327,6
NCT05014672,NCT03633227,6
NCT05014672,NCT04620733,6
NCT05014672,NCT03394924,6
NCT05014672,NCT02516605,6
NCT05014672,NCT04791527,6
NCT04283409,NCT03327753,8
NCT04283409,NCT05945719,8
NCT04283409,NCT05938101,8
NCT04283409,NCT05277038,6
NCT04283409,NCT05913817,6
NCT04283409,NCT06072235,6
NCT04283409,NCT00003232,6
NCT04283409,NCT01117870,6
NCT04283409,NCT02357459,6
NCT04283409,NCT02794103,6
NCT04283409,NCT03201874,6
NCT04283409,NCT02697812,6
NCT04283409,NCT01561547,6
NCT04283409,NCT03949179,6
NCT04283409,NCT05986370,6
NCT04283409,NCT03888235,6
NCT04283409,NCT04893369,6
NCT04283409,NCT05294432,6
NCT04283409,NCT05894772,6
NCT04283409,NCT04842097,6
NCT04283409,NCT00139776,6
NCT04283409,NCT05018104,6
NCT04283409,NCT05713656,6
NCT04283409,NCT02764346,6
NCT04283409,NCT06204003,6
NCT04283409,NCT05161832,6
NCT04283409,NCT03672500,6
NCT04283409,NCT03094195,6
NCT04283409,NCT05217563,6
NCT04283409,NCT02116972,6
NCT04752215,NCT04855656,8
NCT04752215,NCT05797168,8
NCT04752215,NCT05067283,8
NCT04752215,NCT04185883,8
NCT04752215,NCT05396833,8
NCT04752215,NCT02663518,8
NCT04752215,NCT02598960,6
NCT04752215,NCT05936359,6
NCT04752215,NCT00652704,6
NCT04752215,NCT02776735,6
NCT04752215,NCT02223598,6
NCT04752215,NCT00514683,6
NCT04752215,NCT01933334,6
NCT04752215,NCT01606761,6
NCT04752215,NCT05823974,6
NCT04752215,NCT01329809,6
NCT04752215,NCT02292537,6
NCT04752215,NCT04771416,6
NCT04752215,NCT03393884,6
NCT04752215,NCT03358290,6
NCT04752215,NCT04294433,6
NCT04752215,NCT00360035,6
NCT04752215,NCT05531890,6
NCT04752215,NCT00952289,6
NCT04752215,NCT01492504,6
NCT04752215,NCT02193074,6
NCT04752215,NCT02668653,6
NCT04752215,NCT04931862,6
NCT04752215,NCT01746901,6
NCT04752215,NCT01944839,6
NCT05742802,NCT01949727,8
NCT05742802,NCT06208306,6
NCT05742802,NCT01852006,6
NCT05742802,NCT05444062,6
NCT05742802,NCT01017952,6
NCT05742802,NCT01559116,6
NCT05742802,NCT01431274,6
NCT05742802,NCT00528996,6
NCT05742802,NCT04320342,6
NCT05742802,NCT05037929,6
NCT05742802,NCT01124422,6
NCT05742802,NCT02860728,6
NCT05742802,NCT06324214,6
NCT05742802,NCT01627327,6
NCT05742802,NCT04119934,6
NCT05742802,NCT00108823,6
NCT05742802,NCT02980575,6
NCT05742802,NCT04284865,6
NCT05742802,NCT01455402,6
NCT05742802,NCT06075095,6
NCT05742802,NCT00076089,6
NCT05742802,NCT02164513,6
NCT05742802,NCT01648621,6
NCT05742802,NCT00239447,6
NCT05742802,NCT01044628,6
NCT05742802,NCT02283580,6
NCT05742802,NCT01533922,6
NCT05742802,NCT00570778,6
NCT05742802,NCT00268216,6
NCT05742802,NCT03102970,6
NCT00315380,NCT04157348,8
NCT00315380,NCT02020889,6
NCT00315380,NCT03712345,6
NCT00315380,NCT01750697,6
NCT00315380,NCT05263934,6
NCT00315380,NCT03298061,6
NCT00315380,NCT02108860,6
NCT00315380,NCT00315393,6
NCT03037931,NCT05636176,8
NCT03037931,NCT02347722,6
NCT03037931,NCT03532009,6
NCT03037931,NCT01281384,6
NCT03037931,NCT03499236,6
NCT03037931,NCT03016325,6
NCT03037931,NCT05724433,6
NCT03037931,NCT03152552,6
NCT03037931,NCT00368641,6
NCT03037931,NCT03541616,6
NCT03037931,NCT02661451,6
NCT03037931,NCT05737940,6
NCT03037931,NCT02116140,6
NCT03037931,NCT00267098,6
NCT03037931,NCT00232180,6
NCT03037931,NCT01864369,6
NCT03037931,NCT04986202,6
NCT03037931,NCT03088033,6
NCT03037931,NCT02717507,6
NCT03037931,NCT02456428,6
NCT03037931,NCT03547583,6
NCT03037931,NCT05560737,6
NCT03037931,NCT00959075,6
NCT03037931,NCT00358215,6
NCT03037931,NCT01685840,6
NCT03037931,NCT06217120,6
NCT03037931,NCT04245605,6
NCT03037931,NCT03103932,6
NCT03037931,NCT03066804,6
NCT03037931,NCT04066907,6
NCT04159662,NCT05739370,6
NCT04159662,NCT04239651,6
NCT04159662,NCT03428555,6
NCT04159662,NCT04793542,6
NCT04159662,NCT01072630,6
NCT04159662,NCT06178731,6
NCT04159662,NCT03106883,6
NCT04159662,NCT03977038,6
NCT04159662,NCT02686333,6
NCT04159662,NCT04780620,6
NCT04159662,NCT03674671,6
NCT04159662,NCT05194267,6
NCT04159662,NCT05570344,6
NCT04159662,NCT04624191,6
NCT04159662,NCT03408821,6
NCT04159662,NCT03043833,6
NCT04159662,NCT01999010,6
NCT04159662,NCT05072210,6
NCT04159662,NCT04255784,6
NCT04159662,NCT02729792,6
NCT04159662,NCT04039568,6
NCT04159662,NCT03775200,6
NCT04159662,NCT02283541,6
NCT04159662,NCT01099592,6
NCT04159662,NCT04350814,6
NCT04159662,NCT00782912,6
NCT04159662,NCT06034821,6
NCT04159662,NCT03296007,6
NCT04159662,NCT04519892,6
NCT04159662,NCT02212366,6
NCT05347238,NCT03248271,6
NCT05347238,NCT01481740,6
NCT05347238,NCT05335174,6
NCT05347238,NCT03113045,6
NCT05347238,NCT01000649,6
NCT05347238,NCT01896960,6
NCT05347238,NCT01561274,6
NCT05347238,NCT01482559,6
NCT05347238,NCT02338843,6
NCT05347238,NCT02043886,6
NCT05347238,NCT05424510,6
NCT05347238,NCT06316817,6
NCT05347238,NCT03956186,6
NCT05347238,NCT02654847,6
NCT05347238,NCT02962986,6
NCT05347238,NCT01914133,6
NCT05347238,NCT03864692,6
NCT05347238,NCT02360085,6
NCT05347238,NCT02302378,6
NCT05347238,NCT01419106,6
NCT05347238,NCT00781157,6
NCT04159155,NCT03660826,8
NCT04159155,NCT03367741,6
